statement,id,name,start_date,end_date,wikidata
Q37940953-889B4199-3D82-4133-B383-C9F3188D4038,5,5th National Council of Austria,1945-12-19,1949-11-08,Q37940953
Q37940949-11CE0F3F-4934-42E3-B123-E5C77F553028,6,6th National Council of Austria,1949-11-08,1953-03-18,Q37940949
Q37940944-B218190F-7BA4-4DF4-BA1A-71F513C0EF1A,7,7th National Council of Austria,1953-03-18,1956-06-08,Q37940944
Q37940939-26DAC0B4-CD77-4469-BB0E-1A8C29B7727D,8,8th National Council of Austria,1956-06-08,1959-06-09,Q37940939
Q37940768-48477824-B1FB-486C-9D50-B5DEAFDF1136,9,9th National Council of Austria,1959-06-09,1962-12-14,Q37940768
Q37940763-97E0336D-E388-4EFA-A94B-1858C99B4E89,10,10th National Council of Austria,1962-12-14,1966-03-30,Q37940763
Q37940757-132C87C7-E1EC-46A2-BC46-2BC135EBA6F0,11,11th National Council of Austria,1966-03-30,1970-03-31,Q37940757
Q37940751-E003F676-E0A2-459D-9EEE-AA46E47F10BF,12,12th National Council of Austria,1970-03-31,1971-11-04,Q37940751
Q37940716-035889E7-1087-471C-B493-A44F25FE7D90,13,13th National Council of Austria,1971-11-04,1975-11-04,Q37940716
Q37940711-5E7FCE60-81BB-420E-B8B1-15588FE1FDCD,14,14th National Council of Austria,1975-11-04,1979-06-04,Q37940711
Q37940706-F513452B-507B-43E9-AF1E-72C5BB4DDFA0,15,15th National Council of Austria,1979-06-05,1983-05-18,Q37940706
Q37940687-58D9156D-278A-49F2-A803-E5CB891F84CF,16,16th National Council of Austria,1983-05-19,1986-12-16,Q37940687
Q37940300-C0771A76-1F4F-486D-BBAC-E600A9DB2C88,17,17th National Council of Austria,1986-12-17,1990-11-04,Q37940300
Q37940219-C8202171-6002-4BBD-9D04-D958327A7BE4,18,18th National Council of Austria,1990-11-05,1994-11-06,Q37940219
Q37939988-67348AEE-9679-4B21-BDF6-7182CAB13FED,19,19th National Council of Austria,1994-11-07,1996-01-14,Q37939988
Q37939695-F2F9A055-9A47-48D6-8280-BC1B59B94F52,20,20th National Council of Austria,1996-01-15,1999-10-28,Q37939695
Q37874592-5B009DD7-7AB2-4F2C-BAA2-70E506963BEA,21,21st National Council of Austria,1999-10-29,2002-12-19,Q37874592
Q37874497-E1EB5C3F-B6AB-4210-8E32-19CD371BC501,22,22nd National Council of Austria,2002-12-20,2006-10-29,Q37874497
Q37873734-da250054-4560-52b6-dfb0-b2b801ad8cee,23,23th National Council of Austria,2006-10-30,2008-10-27,Q37873734
Q37872857-164a3430-46e0-94c4-bba5-6e5c3e80a987,24,24th National Council of Austria,2008-10-28,2013-10-28,Q37872857
Q37858633-a5290655-4293-4cba-157a-654fb7551cf9,25,25th National Council of Austria,2013-10-29,2017-11-08,Q37858633
Q42293725-719f4663-468d-b224-e9e7-41f23c7dc398,26,26th National Council of Austria,2017-11-09,"",Q42293725
