id,label,type
Q1670832,minister of Foreign Affairs in Belgium,cabinet
Q168589,Minister of Justice of Belgium,cabinet
Q1922481,Minister of the Interior,cabinet
Q2099024,Minister of Agriculture,cabinet
Q213107,Prime Minister of Belgium,cabinet
Q2242323,finance minister of Belgium,cabinet
Q24199589,Minister of Defence of Belgium,cabinet
Q2507371,Minister of Budget,cabinet
Q25712501,Minister of Labour and Transport,cabinet
Q25712502,Minister of Social Affairs and Health,cabinet
Q25907280,Minister of the Civil Service,cabinet
Q3066177,Minister of Development Cooperation,cabinet
Q6866254,Minister of Mobility,cabinet
Q6866882,Minister of Energy,cabinet
