id,name,constituency,party,term
110,Dean Oliver Barrow,Queen's Square,United Democratic Party,9
111,Gaspar Vega,Orange Walk North,United Democratic Party,9
112,Erwin Rafael Contreras,Cayo West,United Democratic Party,9
113,Michael Kwame Finnegan,Mesopotamia,United Democratic Party,9
115,Jose Manuel Heredia Jr.,Belize Rural South,United Democratic Party,9
116,Anthony Martinez,Port Loyola,United Democratic Party,9
117,Joseph Mahmud,Cayo North,People's United Party,9
118,Wilfred Peter Elrington,Pickstock,United Democratic Party,9
119,Ivan Micahel Ramos,Dangriga,People's United Party,9
121,Jose Abelardo Mai,Orange Walk South,People's United Party,9
123,Dr. Marco Tulio Mendez,Orange Walk East,People's United Party,9
124,Rene Montero,Cayo Central,United Democratic Party,9
126,Edmond George Castro,Belize Rural North,United Democratic Party,9
129,Elvin Penner,Cayo North East,United Democratic Party,9
130,Ramiro Ramirez,Corozal South West,People's United Party,9
134,Julius Espat,Cayo South,People's United Party,9
135,John Briceño,Orange Walk Central,People's United Party,9
136,Rodwell Stephen Ferguson Sr.,Stann Creek West,People's United Party,9
137,Michael Joseph Espat,Toledo East,People's United Party,9
138,Said Wilbert Musa,Fort George,People's United Party,9
139,Francis Fonseca,Freetown,People's United Party,9
140,Florencio Julian Marin Jr.,Corozal South East,People's United Party,9
211,Santino Castillo,Caribbean Shores,United Democratic Party,9
212,Hugo Amilcar Patt,Corozal North,United Democratic Party,9
213,Mark Anthony King,Lake Independence,United Democratic Party,9
214,Herman R. Longsworth,Albert,United Democratic Party,9
d_balderamos.jpg,Dolores Balderamos Garcia,Belize Rural Central,People's United Party,9
